# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=Empower,,,,,,,,
Role,Accounting,Accounting,UVMZ8,TRUE,FALSE,FALSE,FALSE,Reviews the Disbursement Information and audits the payment history.
Role,Administrator,Administrator,UVBM97,TRUE,TRUE,TRUE,FALSE,Administers to the system for updates and configuration requirements.
Role,Analyst,Analyst,UVCC32,TRUE,TRUE,FALSE,FALSE,Assists with updates and configuration requirements.
Role,Appraisal Analyst,Appraisal Analyst,UFJW114,TRUE,FALSE,FALSE,FALSE,Reviews appraisals approving and pending them as needed.
Role,Area Manager,Area Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,"Area manager is in the Sales function. Part of the hierarchy for sales. You have LO, the Branch Manager, then Area Mgr, then Reg'l Mgr, then Div Manager"
Role,Bond Closing Manager,Bond Closing Manager/Supervisor,UVCH27,TRUE,TRUE,FALSE,FALSE,Oversees the Bond closing teammates.
Role,Bond Final Doc,Bond Final Doc,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles the final documents for Bond Loans
Role,Bond LNG Coordinator,Bond LNG Coordinator,UVCH27,TRUE,FALSE,FALSE,FALSE,This person assigns files for the Bond team as well as tracks closed USDA loans and requests checks to be sent to Chase for upfront Guarantee fees once loan closed
Role,Bond Manager,Bond Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Oversees the Bond area and teammates.
Role,Bond Post Closing,Bond Post Closing,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles the post closing status of Bond Loans.
Role,Bond Shipper,Bond Shipper,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles shipping the bond loans to the respective lending authority.
Role,Branch Review Manager,Branch Review Manager,UVHC31,TRUE,TRUE,FALSE,FALSE,Reviews settlement agent package documentation. Assists Branch Review specialist when needed.
Role,Branch Review Specialist,Branch Review Specialist,UVHC31,TRUE,TRUE,FALSE,FALSE,Reviews settlemen agent package documentation. Submits requests for document repairs to the pend resolution specialist.
Role,Administers Broker Portal,BrokerPortal Manager,UVMZ8,TRUE,FALSE,FALSE,FALSE,Do Not Need _This would have been a Wholesale role.
Role,Campus Manager,Campus Manager,UVCH27,TRUE,TRUE,FALSE,FALSE,"Campus manager manages processing, UW, Closing at a campus"
Role,Closer Funder,Closer Funder,UVCH27,TRUE,TRUE,FALSE,FALSE,Handles closing and funding loans.
Role,Closing Manager,Closing/Funding Manager,UVCH27,TRUE,TRUE,FALSE,FALSE,Manages the closing and funding area and teammates.
Role,CMS Manager,CMS Manager,UGBH124,TRUE,FALSE,FALSE,FALSE,Manages the Collateral Management area and teammatees.
Role,Compliance,Compliance,UVKC101,TRUE,FALSE,FALSE,FALSE,Compliance Analyst - View only with ability to review HMDA screens
Role,Compliance Manager,Compliance Manager,UVKC101,TRUE,FALSE,FALSE,FALSE,Manager of Compliance Team
Role,Condo Approval,Condo Approval,UVLI0,TRUE,FALSE,FALSE,FALSE,Handles approving condos.
Role,Condo Group,Condo Group,UVLI0,TRUE,FALSE,FALSE,FALSE,Works with the condo projects and condo approval team.
Role,Conventional Post Closing Manager,Conventional Post Closing Manager,UVAB3,TRUE,FALSE,FALSE,FALSE,Post Closing Manager for Conventional Loans
Role,CoreLogic Analyst,CoreLogic Analyst,UGBH124,TRUE,FALSE,FALSE,FALSE,Analyst that reviews CoreLogic Reports
Role,CoreLogic Manager,CoreLogic Manager,UGBH124,TRUE,FALSE,FALSE,FALSE,Manager of CoreLogic Team
Role,Construction Admin,Construction Administrator,UGAH121,TRUE,FALSE,FALSE,FALSE,Administers to the construction loans
Role,CP Project Approver,CP Project Approver,UGAH121,TRUE,FALSE,FALSE,FALSE,Approves the CP Projects
Role,CP Project Approver Manager,CP Project Approver Manager,UGAH121,TRUE,FALSE,FALSE,FALSE,Manages the CP Project team
Role,Cross Sell,Cross Sell,UTAB32,TRUE,FALSE,FALSE,FALSE,Cross Sell teammate
Role,Custodian Final Docs,Custodian Final Docs,UVJO1,TRUE,FALSE,FALSE,FALSE,Manages the final documents for mortgage loans.
Role,Custodian Manager,Custodian Manager,UVJO1,TRUE,FALSE,FALSE,FALSE,Managages the final document team and department.
Role,Custodian Pend Specialist,Custodian Pend Specialist,UVJO1,TRUE,FALSE,FALSE,FALSE,Pends loans for missing final documents.
Role,Custodian Reviewer,Custodian Reviewer,UVJO1,TRUE,FALSE,FALSE,FALSE,Reviews the loans for missing final documents.
Role,Divisional Manager,Divisional Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Sales - Div. Sales manager
Role,Document Receiver,Document Receiver,UVJO1,TRUE,FALSE,FALSE,FALSE,Coordinates Document Types
Role,Document Setup Access,Document Setup Access,UVJO1,TRUE,FALSE,FALSE,FALSE,Provides Access to Document Related Setups
Role,EmpowerAdmin,EmpowerAdmin,UVGS60,TRUE,TRUE,TRUE,FALSE,Administrator for Empower.
Role,Execution Analyst,Execution Analyst,UVKR76,TRUE,FALSE,FALSE,FALSE,Teammates are part of the Mortgage Production Operations Performance Management Group
Role,FHA Insurer,FHA Insurer,UVMB38,TRUE,FALSE,FALSE,FALSE,Handles FHA loans for insuring through HUD
Role,Final Document Manager,Final Document Manager,UVAB3,TRUE,FALSE,FALSE,FALSE,Manages the final document team.
Role,Final Document Specialist,Final Document Specialist,UVAB3,TRUE,FALSE,FALSE,FALSE,Manages final documents for loans.
Role,Flood Analyst,Flood Analyst,UFKG87,TRUE,FALSE,FALSE,FALSE,Provides assistance with flood certification for properties in a flood area.
Role,Flood Review,Flood Review,UFKG87,TRUE,FALSE,FALSE,FALSE,Provides assistance with flood certification for properties in a flood area.
Role,Government Insurer,Government Insurer,UVAB3,TRUE,FALSE,FALSE,FALSE,Helpings with insuring on government loans.
Role,Government Insuring Manager,Government Insuring Manager,UVAB3,TRUE,FALSE,FALSE,FALSE,In Post Closing area - responsible for getting government loans insured.
Role,Help Desk Analyst,Help Desk Analyst,A1JH4,TRUE,TRUE,TRUE,FALSE,Provides assistance to users working in Empower for password resets and other workflow issues.
Role,I32 Admin Role,I32 Admin Role,UVMZ8,TRUE,FALSE,FALSE,FALSE,Role to Support I32 Creation Impacated Setups. Process ID not assigned to users.
Role,Lights Out Processing,Lights Out Processing,UVMZ8,TRUE,FALSE,FALSE,FALSE,Lights Out Processing. Process ID not assigned to users.
Role,LightsOutProcessing,LightsOutProcessing,UVMZ8,TRUE,FALSE,FALSE,FALSE,Lights Out Processing. Process ID not assigned to users.
Role,Loan Officer Assistant,Loan Officer Assistant (LOA),UGJD13,TRUE,FALSE,FALSE,FALSE,Provides assistance to loan officers.
Role,Loan Origination Manager,Loan Origination Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages producing loan officers and originates mortgage loans
Role,Loan Originator,Loan Originator,UGJD13,TRUE,FALSE,FALSE,FALSE,Originates Mortgage Loans
Role,Loan Safe Analyst,Loan Safe Analyst,U8JB99,TRUE,FALSE,FALSE,FALSE,Teammates are underwriters assiting fraud review
Role,LOS Config,LOS Config,UVBM97,TRUE,TRUE,FALSE,FALSE,Provides assistance with configuration and setup of Empower.
Role,Manager,Manager,UVBM97,TRUE,FALSE,FALSE,FALSE,Generic manager role for all areas. Not Used.
Role,MERS Manager,MERS Manager,UVPW7,TRUE,FALSE,FALSE,FALSE,Manages the Mortgage Electronic Registration area and teammates.
Role,MERS Specialist,MERS Specialist,UVPW7,TRUE,FALSE,FALSE,FALSE,Helps with getting the Mortgage Electronic Registration on all loans.
Role,MLC,MLC,UGJD13,TRUE,FALSE,FALSE,FALSE,Performs in the same role as an LOA assisting Loan Officers with mortgage loans.
Role,MLS,MLS,UGJD13,TRUE,FALSE,FALSE,FALSE,Performs in the same role as an LOA assisting Loan Officers with mortgage loans.
Role,MLS Manager,MLS Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages the MLS teammates.
Role,MLS Supervisor,MLS Supervisor,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages the MLS teammates.
Role,New Loan Setup,New Loan Setup,UVKR76,TRUE,FALSE,FALSE,FALSE,Handles the setup of new loans as they beging the process of going from initial applicatiion.
Role,New Loan Setup Manager,New Loan Setup Manager,UVKR76,TRUE,FALSE,FALSE,FALSE,Manages the new loan setup teammates.
Role,New Loan Setup Supervisor,New Loan Setup Supervisor,UVKR76,TRUE,FALSE,FALSE,FALSE,Manages the new loan setup teammates.
Role,NLSU MLS Coordinator,NLSU MLS Coordinator,UGJD13,TRUE,FALSE,FALSE,FALSE,Helps to coordinate an assign new loans to the new loan setup team.
Role,Operations Manager,Operations Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Mortgage Production Manager Teammates
Role,Orchestration Engine Role,Orchestration Engine Role,UVMZ8,TRUE,FALSE,FALSE,FALSE,"This will be for the configuration team. It grants access to the OE setup. Process ID, no users assigned to this."
Role,Override Blackout Period,Override Blackout Period,UVBM97,TRUE,FALSE,FALSE,FALSE,This is for secondary marketing to allow for overrides to the Blackout Period for pricing.
Role,Pend Resolution Manager,Pend Resolution Manager,UVJO1,TRUE,FALSE,FALSE,FALSE,Post Closing Area - manages team that handles closed loans that have issues (pends) that need resolved for saleability
Role,Pend Resolution Specialist,Pend Resolution Specialist,UVJO1,TRUE,FALSE,FALSE,FALSE,Post Closing Area - handles closed loans that have issues (pends) that need resolved for saleability
Role,Document Portal Administrators,Portal Administrator,UVSI5,TRUE,FALSE,FALSE,FALSE,Not in place yet - This will be the administrator for the Client Portal
Role,Portal User,Portal User,UVSI5,TRUE,FALSE,FALSE,FALSE,Not in place yet - This will allow access to the Client Portal
Role,Post Closer,Post Closer,UVJO1,TRUE,FALSE,FALSE,FALSE,Handles the post closing part of loans. Generic role - not used
Role,Post Closing Manager,Post Closing Manager,UVJO1,TRUE,FALSE,FALSE,FALSE,Manages the post closing department and teammates.This is for all areas.
Role,Pre Closing Quality Analyst (PQA),Pre Closing Quality Analyst (PQA),UVMP87,TRUE,FALSE,FALSE,FALSE,Person who reviews files just prior to issuing closing package to help prevent unsaleable loans.
Role,Pre Funding,Pre Funding,UVAD12,TRUE,FALSE,FALSE,FALSE,Performs same functions as the PQA Role. Currently no teammates in this role.
Role,Processing Manager,Processing Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Manages the processing teammates and department.
Role,Processor,Processor,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles processing the loan for the loan officer.
Role,QC Analyst,QC Analyst,UVAD12,TRUE,FALSE,FALSE,FALSE,"In QC department - reviews files for quality to make sure defects are minimal and if found, mitigated - This role will review the loan prior to closing"
Role,QC Analyst (Post Closing),QC Analyst (Post Closing),UVJM228,TRUE,FALSE,FALSE,FALSE,This is a QC Analyst for loans that are closed.
Role,QC Analyst Manager,QC Analyst Manager,UVLW81,TRUE,FALSE,FALSE,FALSE,Manager of the QC Team
Role,Redisclosure Associate,Redisclosure Associate,UFDO12,TRUE,FALSE,FALSE,FALSE,Person that reviews and rediscloses on loans
Role,Redisclosure Associate Coordinator,Redisclosure Associate Coordinator,UFDO12,TRUE,FALSE,FALSE,FALSE,Person that monitors Redisclosure Assoc. mailbox and distributes the tasks to be reviewed
Role,Redisclosure Associate Manager,Redisclosure Associate Manager,UFDO12,TRUE,FALSE,FALSE,FALSE,Manages the redisclosure teammates
Role,Repair Escrow,Repair Escrow,UGLV8,TRUE,FALSE,FALSE,FALSE,Would review for any funds held back for repair escrows. Currently no teammates in this role.
Role,Respa Cure,Respa Cure,UVJO1,TRUE,FALSE,FALSE,FALSE,Reivews loans for any possible Respa Cure
Role,Sales Manager,Sales Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages loan originators but does not originate loans
Role,Scan Station Admin,Scan Station Admin,UFKF31,TRUE,FALSE,FALSE,FALSE,Handles exception management for scanned documents coming into Empower
Role,Secondary,Secondary,UVCD102,TRUE,FALSE,FALSE,FALSE,Works for the lock desk.
Role,Secondary Manager,Secondary Manager,UVCD102,TRUE,FALSE,FALSE,FALSE,Manages the lock desk and teammates.
Role,Setup New Account Access Role,Setup New Account Access Role,UVBM97,TRUE,TRUE,FALSE,FALSE,Role for teammates in Site Administration who verify user setups.
Role,SetupAdministrator,SetupAdministrator,UVBM97,TRUE,FALSE,FALSE,FALSE,This is a configuration team role. Allowing the user access to all setup
Role,Underwriter,Underwriter,UVCH27,TRUE,FALSE,FALSE,FALSE,Users underwrite mortgage loans
Role,Underwriter Exception Coordinator,Underwriter Exception Coordinator,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles assignment of loans to underwriters who can approve loans outside of guidelines
Role,Underwriting Exception,Underwriting Exception,UVCH27,TRUE,FALSE,FALSE,FALSE,Underwriters who can approve loans outside of guidelines
Role,Underwriting Manager,Underwriting Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Manages the underwriting division and teammates
Role,VA Insurer,VA Insurer,UVAB3,TRUE,FALSE,FALSE,FALSE,Ensures that VA loans obtain the government insuring
Role,View Only,View Only,UVCC32,TRUE,FALSE,FALSE,FALSE,Users in this role can view all parts of Empower but can't make any changes to loans
Role,View Only LOS and Setups,View Only LOS and Setups,UVBM97,TRUE,FALSE,FALSE,FALSE,"The ability to view the LOS without authority to edit anything, as well as view only access to Setups."
Role,View Setup Full LOS Admin,View Setup Full LOS Admin,UVBM97,TRUE,TRUE,TRUE,FALSE,"The ability to view the setups, but does have authority to update the LOS"
